#Term,Coding,strong,akt/pass,Wortart,Emotion 1,Emotion 2
Adjektive,,,,,,
Passion,F_POS,,,nomen,Freude,
Peinlichkeit,,,,nomen,Ärger,Überraschung
Pessimismus,F_NEG,strong,,nomen,Traurigkeit,
Phobie,F_NEG,strong,,nomen,Furcht,
Platzangst,F_NEG,,,nomen,Furcht,
Qual,,,,nomen,Furcht,
Rage,F_NEG,strong,,nomen,Ärger,
Raserei,,,,nomen,Ärger,
Rastlosigkeit,,,,nomen,Furcht,
Rechtsgefühl,F_POS,,,nomen,Erwartung,
Resignation,,,,nomen,Traurigkeit,
Ressentiment,F_NEG,,,nomen,Ekel,
Reue,,,,nomen,Ekel,Traurigkeit
Rührung,F_POS,,,nomen,Freude,Traurigkeit
Sanftmut,F_POS,,,nomen,Freude,
Schadenfreude,,,,nomen,Freude,
Scham,F_NEG,,,nomen,Ekel,
Schamgefühl,F_NEG,,,nomen,Ekel,
Scheu,F_NEG,,,nomen,Furcht,
Schock,,,,nomen,Furcht,
Schreck,F_NEG,,,nomen,Furcht,
Schrecken,,,,nomen,Furcht,
Schuldgefühl,F_NEG,,,nomen,Ekel,Traurigkeit
Schwellenangst,F_NEG,,,nomen,Furcht,
Schwermut,F_NEG,strong,aktiv,nomen,Traurigkeit,
Seelenregung,F_POS,,,nomen,Traurigkeit,
Sehnsucht,,,,nomen,Erwartung,
Selbstvertrauen,F_POS,,,nomen,Vertrauen,
Seligkeit,,,,nomen,Freude,
Sentimentalität,,,,nomen,Traurigkeit,
Sich-wohl-Fühlen,F_POS,,,nomen,Vertrauen,
Skeptizismus,,,,nomen,Erwartung,
Sorge,,,,nomen,Furcht,
Spielfreude,F_POS,,,nomen,Freude,
Staunen,F_POS,,,nomen,Überraschung,
Stolz,F_POS,,,nomen,Freude,
Stress,,,,nomen,Ärger,
Streitsucht,,,,nomen,Erwartung,Ärger
Stumpfsinn,,,,nomen,Ekel,
Superstimmung,F_POS,,,nomen,Freude,
Sympathie,F_POS,,,nomen,Freude,
Tatenlust,F_POS,,,nomen,Freude,Erwartung
Terror,,,,nomen,Furcht,
Tiefsinn,,,,nomen,Traurigkeit,
Todesangst,F_NEG,strong,,nomen,Furcht,
Trauer,F_NEG,strong,,nomen,Traurigkeit,
Trauerstimmung,F_NEG,strong,,nomen,Traurigkeit,
Traurigkeit,F_NEG,,,nomen,Traurigkeit,
Tristesse,F_NEG,strong,,nomen,Traurigkeit,
Trostlosigkeit,,,,nomen,Traurigkeit,
Trübsal,F_NEG,,,nomen,Traurigkeit,
Trübseligkeit,F_NEG,,,nomen,Traurigkeit,
Trübsinn,F_NEG,,,nomen,Traurigkeit,
Trübsinnigkeit,F_NEG,,,nomen,Traurigkeit,
Überängstlichkeit,F_NEG,,,nomen,Furcht,
Überdruß,F_NEG,strong,,nomen,Ärger,
Überlastung,,,,nomen,Traurigkeit,
Übermut,F_NEG,,,nomen,Freude,
Überraschung,,,,nomen,Überraschung,
Überwältigung,,,,nomen,Überraschung,
Unbehagen,F_NEG,,,nomen,Furcht,
Unglück ,,,,nomen,Traurigkeit,
Unglücklichkeit,F_NEG,,,nomen,Traurigkeit,
Unlust,F_NEG,,,nomen,Ärger,
Unmut,F_NEG,,,nomen,Ärger,
Unrast,F_NEG,,,nomen,Furcht,
Unruhe,F_NEG,,,nomen,Furcht,
Unsterblichkeit,F_POS,,,nomen,Vertrauen,
Unterwerfung,,,,nomen,Furcht,Vertrauen
Unzufriedenheit,F_NEG,,,nomen,Ärger,
Urlaubsfreude,F_POS,,,nomen,Freude,
Urvertrauen,F_POS,,,nomen,Vertrauen,
Vaterlandsliebe,F_POS,,,nomen,Freude,
Verachtung,F_NEG,strong,aktiv,nomen,Ekel,
Verärgerung,,,,nomen,Ärger,
Verblüffung,,,,nomen,Überraschung,
Verbitterung,,,,nomen,Traurigkeit,
Verbundenheitsgefühl,F_POS,,,nomen,Vertrauen,
Verdruß,F_NEG,strong,,nomen,Ärger,
Verdruss,,,,nomen,Ärger,
Verehrung,F_POS,strong,aktiv,nomen,Vertrauen,Furcht
Vereinsamung,F_NEG,,,nomen,Traurigkeit,
Vergnügen,F_POS,,,nomen,Freude,
Vergnügtheit,F_POS,,aktiv,nomen,Freude,
Verlegenheit,F_NEG,,,nomen,Furcht,
Verletzbarkeit,F_NEG,,,nomen,Furcht,
Verliebtheit,F_POS,,,nomen,Freude,
Versonnenheit,,,,nomen,Vertrauen,
Verliebtsein,F_POS,strong,,nomen,Freude,
Verstimmung,F_NEG,,,nomen,Ärger,
Verstörung,,,,nomen,Furcht,
Verstörtheit,,,,nomen,Furcht,
Vertrauen,,,,nomen,Vertrauen,
Verwirrung,,,,nomen,Überraschung,
Verwunderung,,,,nomen,Überraschung,
Verzückung,F_POS,,,nomen,Freude,
Verzweiflung,F_NEG,strong,,nomen,Traurigkeit,
Vorahnung,,,,nomen,Erwartung,
Vorfreude,F_POS,,,nomen,Freude,Erwartung
Wehmut,F_NEG,,,nomen,Traurigkeit,
Widerwille,F_NEG,,,nomen,Ekel,Ärger
Wohlgefühl,F_POS,,,nomen,Freude,
Wonne,F_POS,,,nomen,Freude,
Wut,F_NEG,strong,,nomen,Ärger,
Wutanfall,F_NEG,strong,aktiv,nomen,Ärger,
Wutausbruch,F_NEG,strong,aktiv,nomen,Ärger,
Zerrissenheit,F_NEG,,,nomen,Traurigkeit,
Zorn,F_NEG,,,nomen,Ärger,
Zufriedenheit,F_POS,,,nomen,Freude,
Zugehörigkeitsgefühl,F_POS,,,nomen,Vertrauen,
Zukunftsangst,F_NEG,,,nomen,Furcht,Erwartung
Zuneigung,F_POS,strong,,nomen,Freude,Vertrauen
Zusammengehörigkeitsgefühl,F_POS,,,nomen,Vertrauen,
,,,,,,
,,,,,,
Verben,,,,,,
ablehnen,,,,verb,Ekel,
abreagieren,,,,verb,Ärger,
abstumpfen,,,,verb,??,
achten,,,,verb,Vertrauen,
akzeptieren,,,,verb,Vertrauen,
amüsieren,,,,verb,Freude,
anbeten,,,,verb,Vertrauen,
anecken,,,,verb,Ärger,
anekeln,,,,verb,Ekel,
ängstigen,,,,verb,Furcht,
anlächeln,,,,verb,Freude,
anregen,,,,verb,Erwartung,
anspannen,,,,verb,Furcht,
ärgern,,,,verb,Ärger,
aufbrausen,,,,verb,Ärger,
aufgeben,,,,verb,Traurigkeit,
aufregen,,,,verb,Ärger,
ausflippen,,,,verb,Überraschung,
auslachen,,,,verb,Freude,
bangen,,,,verb,Furcht,
beängstigen,,,,verb,Furcht,
bedanken,,,,verb,Freude,
bedauern,,,,verb,Traurigkeit,
bedrängen,,,,verb,Traurigkeit,Furcht
bedrohen,,,,verb,Furcht,
bedrücken,,,,verb,Traurigkeit,
befremden,,,,verb,Überraschung,Ärger
befürchten,,,,verb,Furcht,
begehren,,,,verb,Erwartung,
begeistern,,,,verb,Freude,
begieren,,,,verb,Erwartung,
beglücken,,,,verb,Freude,
beklemmen,,,,verb,Furcht,
bekümmern,,,,verb,Traurigkeit,
beleidigen,,,,verb,Ärger,
berühren,,,,verb,Traurigkeit,Freude
beschämen,,,,verb,Ekel,Ärger
bestürzen,,,,verb,Traurigkeit,
betrauern,,,,verb,Traurigkeit,
betreffen,,,,verb,Traurigkeit,
betrüben,,,,verb,Traurigkeit,
beunruhigen,,,,verb,Furcht,
bewegen,,,,verb,Traurigkeit,Freude
bewundern,,,,verb,Vertrauen,
blossstellen,,,,verb,Ärger,Überraschung
danken,,,,verb,Freude,
deprimieren,,,,verb,Traurigkeit,
desillusionieren,,,,verb,Traurigkeit,
dominieren,,,,verb,Vertrauen,
ekeln,,,,verb,Ekel,
empfinden,,,,verb,Erwartung,
empören,,,,verb,Ärger,
entflammen,,,,verb,Freude,
entfremden,,,,verb,Ekel,
entmutigen,,,,verb,Traurigkeit,
entrüsten,,,,verb,Ärger,
entsetzen,,,,verb,Ärger,
entspannen,,,,verb,Vertrauen,
enttäuschen,,,,verb,Traurigkeit,Ärger
entzücken,,,,verb,Freude,
entzürnen,,,,verb,Ärger,
erfreuen,,,,verb,Freude,
erheitern,,,,verb,Freude,
ermatten,,,,verb,Traurigkeit,
ermutigen,,,,verb,Vertrauen,
erniedrigen,,,,verb,Traurigkeit,
erregen,,,,verb,Erwartung,
erschrecken,,,,verb,Überraschung,
erschüttern,,,,verb,Traurigkeit,
ersehnen,,,,verb,Erwartung,
erstaunen,,,,verb,Überraschung,
erwarten,,,,verb,Erwartung,
fluchen,,,,verb,Ärger,
freuen,,,,verb,Freude,
frustrieren,,,,verb,Ärger,
fürchten,,,,verb,Furcht,
geniessen,,,,verb,Freude,
gering achten,,,,verb,Ekel,
gering schätzen,,,,verb,Ekel,
glauben,,,,verb,Vertrauen,
grämen,,,,verb,Ärger,
grollen,,,,verb,Ärger,
hadern,,,,verb,Ärger,
härmen,,,,verb,Ärger,
hassen,,,,verb,Ekel,
hemmen,,,,verb,Furcht,
hoffen,,,,verb,Erwartung,
interessieren,,,,verb,Erwartung,
irritieren,,,,verb,Überraschung,Ärger
kränken,,,,verb,Traurigkeit,
lachen,,,,verb,Freude,
lächeln,,,,verb,Freude,
langweilen,,,,verb,Ekel,
leiden,,,,verb,Traurigkeit,
lieben,,,,verb,Freude,Vertrauen
loben,,,,verb,Freude,
missachten,,,,verb,Ekel,
missbilligen,,,,verb,Ekel,
missfallen,,,,verb,Ekel,
misstrauen,,,,verb,Furcht,
missgnügen,,,,verb,Ärger,
mitfühlen,,,,verb,Vertrauen,
motivieren,,,,verb,Freude,Erwartung
necken,,,,verb,Freude,
neiden,,,,verb,Ekel,
nerven,,,,verb,Ärger,
provozieren,,,,verb,Ärger,
quälen,,,,verb,Furcht,
rasen,,,,verb,Ärger,
rebellieren,,,,verb,Ärger,
reizen,,,,verb,Ärger,
resignieren,,,,verb,Traurigkeit,
reuen,,,,verb,Ekel,Traurigkeit
rühren,,,,verb,Freude,Traurigkeit
schämen,,,,verb,Ekel,Ärger
schätzen,,,,verb,Freude,
scheuen,,,,verb,Furcht,
schmerzen,,,,verb,Traurigkeit,
schockieren,,,,verb,Überraschung,
schreien,,,,verb,Ärger,
schwärmen,,,,verb,Freude,
sehnen,,,,verb,Erwartung,
sorgen,,,,verb,Furcht,
staunen,,,,verb,Überraschung,
stressen,,,,verb,Ärger,
sympathisieren,,,,verb,Freude,
trauern,,,,verb,Traurigkeit,
trösten,,,,verb,Vertrauen,
überlasten,,,,verb,Traurigkeit,
überraschen,,,,verb,Überraschung,
überwältigen,,,,verb,Überraschung,Traurigkeit
unterwerfen,,,,verb,Furcht,Vertrauen
verabscheuen,,,,verb,Ekel,
verachten,,,,verb,Ekel,
verängstigen,,,,verb,Furcht,
verärgern,,,,verb,Ärger,
verbittern,,,,verb,Traurigkeit,
verblüffen,,,,verb,Überraschung,
verdriessen,,,,verb,Ärger,
verehren,,,,verb,Vertrauen,
vereinsamen,,,,verb,Traurigkeit,
vergöttern,,,,verb,Vertrauen,
vergnügen,,,,verb,Freude,
verletzen,,,,verb,Traurigkeit,
verlieben,,,,verb,Freude,
vermissen,,,,verb,Traurigkeit,
verstimmen,,,,verb,Ärger,
verstören,,,,verb,Furcht,
vertrauen,,,,verb,Vertrauen,
vertrösten,,,,verb,Vertrauen,
verulken,,,,verb,Freude,
verweigern,,,,verb,Ekel,
verwirren,,,,verb,Überraschung,
verwundern,,,,verb,Überraschung,
verzagen,,,,verb,Traurigkeit,
verzücken,,,,verb,Freude,
verzweifeln,,,,verb,Traurigkeit,
würdigen,,,,verb,Vertrauen,
wüten,,,,verb,Ärger,
zaudern,,,,verb,Furcht,
zelebrieren,,,,verb,Freude,
zollen,,,,verb,Vertrauen,Furcht
zögern,,,,verb,Furcht,
zubilligen,,,,verb,Vertrauen,
zufriedengeben,,,,verb,Freude,
zujubeln,,,,verb,Freude,
zulächeln,,,,verb,Freude,
zurechtweisen,,,,verb,Ärger,
zürnen,,,,verb,Ärger,
zweifeln,,,,verb,Furcht,
,,,,,,
,,,,,,
Emoticons,,,,,,
:-),,,,emoticon,Freude,
(-:,,,,emoticon,Freude,
:),,,,emoticon,Freude,
(:,,,,emoticon,Freude,
:)),,,,emoticon,Freude,
((:,,,,emoticon,Freude,
=),,,,emoticon,Freude,
(=,,,,emoticon,Freude,
:-],,,,emoticon,Freude,
[-:,,,,emoticon,Freude,
:],,,,emoticon,Freude,
[:,,,,emoticon,Freude,
=],,,,emoticon,Freude,
[=,,,,emoticon,Freude,
C-:,,,,emoticon,Freude,
C:,,,,emoticon,Freude,
c-:,,,,emoticon,Freude,
c:,,,,emoticon,Freude,
;-),,,,emoticon,Freude,
(-;,,,,emoticon,Freude,
;),,,,emoticon,Freude,
(;,,,,emoticon,Freude,
;-],,,,emoticon,Freude,
[-;,,,,emoticon,Freude,
;],,,,emoticon,Freude,
[;,,,,emoticon,Freude,
;o),,,,emoticon,Freude,
:->,,,,emoticon,Freude,
<-:,,,,emoticon,Freude,
:>,,,,emoticon,Freude,
<:,,,,emoticon,Freude,
:-O,,,,emoticon,Überraschung,
O-:,,,,emoticon,Überraschung,
:O,,,,emoticon,Überraschung,
O:,,,,emoticon,Überraschung,
:-o,,,,emoticon,Überraschung,Furcht
o-:,,,,emoticon,Überraschung,Furcht
:o,,,,emoticon,Überraschung,Furcht
o:,,,,emoticon,Überraschung,Furcht
:-D,,,,emoticon,Freude,
:D,,,,emoticon,Freude,
:'D,,,,emoticon,Freude,
;-D,,,,emoticon,Freude,
;D,,,,emoticon,Freude,
:-P,,,,emoticon,Freude,
:P,,,,emoticon,Freude,
;-P,,,,emoticon,Freude,
;P,,,,emoticon,Freude,
:p,,,,emoticon,Freude,
xD,,,,emoticon,Freude,
XD,,,,emoticon,Freude,
^_^,,,,emoticon,Freude,
^-^,,,,emoticon,Freude,
^.^,,,,emoticon,Freude,
"^,^",,,,emoticon,Freude,
^^,,,,emoticon,Freude,
*_*,,,,emoticon,Freude,
*-*,,,,emoticon,Freude,
:'-),,,,emoticon,Freude,
:'),,,,emoticon,Freude,
^_-,,,,emoticon,Freude,
:-(,,,,emoticon,Traurigkeit,
)-:,,,,emoticon,Traurigkeit,
:(,,,,emoticon,Traurigkeit,
):,,,,emoticon,Traurigkeit,
:((,,,,emoticon,Traurigkeit,
)):,,,,emoticon,Traurigkeit,
:-[,,,,emoticon,Traurigkeit,
]-:,,,,emoticon,Traurigkeit,
:[,,,,emoticon,Traurigkeit,
]:,,,,emoticon,Traurigkeit,
=(,,,,emoticon,Traurigkeit,
)=,,,,emoticon,Traurigkeit,
=[,,,,emoticon,Traurigkeit,
]=,,,,emoticon,Traurigkeit,
:-C,,,,emoticon,Traurigkeit,
:C,,,,emoticon,Traurigkeit,
:-c,,,,emoticon,Traurigkeit,
:c,,,,emoticon,Traurigkeit,
;-(,,,,emoticon,Traurigkeit,
)-;,,,,emoticon,Traurigkeit,
;(,,,,emoticon,Traurigkeit,
);,,,,emoticon,Traurigkeit,
;-[,,,,emoticon,Traurigkeit,
]-;,,,,emoticon,Traurigkeit,
;[,,,,emoticon,Traurigkeit,
];,,,,emoticon,Traurigkeit,
:-<,,,,emoticon,Traurigkeit,
>-:,,,,emoticon,Traurigkeit,
:<,,,,emoticon,Traurigkeit,
>:,,,,emoticon,Traurigkeit,
D-:,,,,emoticon,Traurigkeit,
D:,,,,emoticon,Traurigkeit,
D-;,,,,emoticon,Traurigkeit,
D;,,,,emoticon,Traurigkeit,
:'-(,,,,emoticon,Traurigkeit,
:'(,,,,emoticon,Traurigkeit,
:-|,,,,emoticon,Ärger,
|-:,,,,emoticon,Ärger,
:|,,,,emoticon,Ärger,
|:,,,,emoticon,Ärger,
:-/,,,,emoticon,Traurigkeit,
:/,,,,emoticon,Traurigkeit,
:-\,,,,emoticon,Traurigkeit,
:\,,,,emoticon,Traurigkeit,
x_X,,,,emoticon,Traurigkeit,
x.X,,,,emoticon,Traurigkeit,
T-T,,,,emoticon,Traurigkeit,
T_T,,,,emoticon,Traurigkeit,
T.T,,,,emoticon,Traurigkeit,
°_°,,,,emoticon,Überraschung,
_',,,,emoticon,Überraschung,
>.<,,,,emoticon,Ärger,
">,<",,,,emoticon,Ärger,
"""-.-""",,,,emoticon,Ärger,
"""-,-""",,,,emoticon,Ärger,
"""-_-""",,,,emoticon,Traurigkeit,
"""._.""",,,,emoticon,Traurigkeit,
U_U,,,,emoticon,Traurigkeit,
v_v,,,,emoticon,Traurigkeit,
:-X,Schweigen,,,emoticon,Vertrauen,
:X,Schweigen,,,emoticon,Vertrauen,
:-S,,,,emoticon,Furcht,
:S,,,,emoticon,Furcht,
:-*,,,,emoticon,Vertrauen,
;-*,,,,emoticon,Vertrauen,
:*,,,,emoticon,Vertrauen,
;*,,,,emoticon,Vertrauen,
:-x,,,,emoticon,Vertrauen,
:-B,,,,emoticon,Freude,
:B,,,,emoticon,Freude,
