word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Balken	5.079365	0.679221	2.269841	1.724644	1.868853	1.359846	13	6	2
Balkon	5.765625	2.150985	3.142857	1.949832	1.873016	1.486412	12	6	2
Ball	5.578125	1.520283	2.921875	2.198879	1.349206	0.918602	9	4	1
Balsam	6.158730	1.944441	4.343750	2.365216	4.225807	2.813430	14	6	2
Bambus	5.578125	1.434326	3.000000	2.024441	1.516129	0.882284	15	6	2
Bankrott	3.063492	2.614309	5.187500	2.724813	6.161290	2.920777	13	8	2
Bar	5.888889	2.072174	3.873016	2.439540	2.698413	2.060652	11	3	1
Basar	5.312500	1.390158	3.983607	2.452834	2.758065	1.705204	13	5	2
Bastard	3.396825	2.492179	6.126984	2.324429	5.634921	2.641490	15	7	2
Bastler	5.515625	1.272321	2.656250	1.827643	3.741936	2.598458	15	7	2
Bauch	5.375000	1.278640	4.000000	2.383808	2.095238	1.444838	11	5	1
Bauer	5.140625	0.923540	2.377049	1.674952	3.016129	2.315252	10	5	2
Baum	5.562500	1.798368	2.444444	1.838458	1.460318	0.876676	10	4	1
Becher	4.968750	0.689346	1.645161	1.505147	1.412698	1.010189	12	6	2
Becken	5.421875	1.445350	2.714286	2.019490	2.274194	1.738375	12	6	2
Beet	5.359375	1.226263	2.180328	1.736934	1.777778	1.113617	16	4	1
Befund	4.812500	1.245627	3.190476	2.093439	5.629032	2.587700	13	6	2
Beifall	6.403226	2.028160	5.484375	2.519714	5.306452	2.731652	10	7	2
Bein	5.281250	0.765709	2.873016	2.136413	1.354839	0.629774	11	4	1
Beispiel	5.250000	0.776643	2.370968	2.001916	6.064516	2.839251	9	8	2
Beleg	5.109375	0.645305	2.274194	2.120697	4.650794	2.846383	12	5	2
Berg	5.562500	1.412810	3.460318	2.123793	1.838710	1.404834	10	4	1
Bericht	5.079365	1.004853	2.177419	1.664718	4.492064	2.850427	8	7	2
Beruf	5.671875	1.533278	2.906250	2.201866	5.904762	2.698353	9	5	2
Bescheid	4.812500	1.139131	2.546875	1.726816	5.936508	2.455232	11	8	2
Besen	4.765625	0.771356	1.983871	1.476504	1.206349	0.480548	13	5	2
Bestand	4.984375	0.845008	2.190476	1.664207	6.725807	2.416944	11	7	2
Besteck	4.859375	0.852023	2.080645	1.518178	1.661290	1.186586	15	7	2
Bestie	3.500000	2.708517	6.984127	2.317480	5.209677	2.829222	14	6	2
Besuch	5.937500	1.660704	3.640625	2.170269	5.936508	2.583278	9	6	2
Betrag	4.983871	1.063430	2.677419	1.956697	5.047619	2.690656	10	6	2
Betreff	5.218750	0.916667	1.983607	1.746347	6.951613	2.145735	16	7	2
Betrug	3.250000	2.519763	5.857143	2.638775	6.677419	2.386947	11	6	2
Bett	5.857143	2.116427	4.000000	2.606463	1.370968	0.706733	10	4	1
Beweis	5.359375	1.145969	3.281250	2.134142	5.984127	2.785284	10	6	2
Biest	3.571429	2.234006	6.634921	2.112189	5.428571	2.650102	15	5	1
Bild	5.396825	1.508467	3.250000	2.152887	2.412698	1.854680	8	4	1
Bildnis	5.603175	1.476042	3.031250	2.054563	4.222222	2.599283	14	7	2
Bildung	6.428571	2.486832	4.656250	2.514837	7.467742	2.109446	9	7	2
Binde	4.484375	1.402856	3.338710	2.179965	2.190476	1.511858	15	5	2
Birke	5.312500	1.412810	2.548387	2.109133	1.596774	1.384453	15	5	2
Bistro	5.515625	1.511776	3.048387	1.945381	3.142857	2.354523	13	6	2
Bitte	5.890625	1.604727	4.666667	2.355502	7.080645	2.098387	10	5	2
Blase	4.796875	0.928896	3.671875	1.944097	2.015873	1.529200	14	5	2
Blatt	5.375000	0.951190	2.730159	2.208534	2.015873	1.736627	10	5	1
Blech	4.906250	0.750000	2.177419	1.903613	1.730159	1.110163	13	5	1
Blinker	5.093750	0.867742	2.387097	1.944769	2.048387	1.633937	16	7	2
Blume	6.354839	2.333623	3.936508	2.468335	1.500000	1.004090	12	5	2
Bl¸te	6.609375	2.394552	4.375000	2.413586	1.838710	1.404834	13	5	2
Blutung	3.687500	2.076895	6.079365	2.245437	3.209677	2.347912	16	7	2
Bogen	5.296875	1.049258	2.765625	1.949702	2.951613	2.279110	11	5	2
Bohne	5.109375	1.009749	2.492064	1.974621	1.603175	1.085679	16	5	2
Bombe	2.952381	2.708580	6.047619	2.542723	2.079365	1.771655	11	5	2
Bonbon	5.984127	1.755104	3.312500	2.069238	1.741936	1.213794	14	6	2
Boot	5.609375	1.267634	2.507937	1.803876	1.349206	0.675820	10	4	1
Bordell	4.206349	2.470201	6.580645	1.851436	2.596774	2.250389	14	7	2
Bosheit	3.222222	2.510908	5.515625	2.189384	7.790323	1.548528	14	7	2
Bote	5.245902	1.233636	2.725807	1.812248	3.603175	2.524331	13	4	2
Braut	6.322581	2.230741	5.317460	2.198426	2.190476	1.624978	11	5	1
Brett	4.890625	0.892956	2.190476	1.847903	1.661290	1.100574	12	5	1
Brezel	5.625000	1.795055	2.555556	1.924191	1.629032	1.148540	16	6	2
Brief	5.809524	1.533046	3.921875	2.477228	1.338710	1.100574	9	5	1
