WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
MITGLIED,mitglied,N,0,0,2.22222222222222,0.87820375202191,2.66666666666667,1.22474487139159,8,7,2,291.333333333333,0,0,0,0,123964.714285714,1
MITLEID,mitleid,N,0,1.63299316185545,3,0.612372435695794,3.33333333333333,1.87082869338697,7,6,2,14.8333333333333,0,0,0,0,194556.5,1
MITTAG,mittag,N,1.2,0.83350875,1.75,0.910465468000326,3.45454545,1.47122472,6,5,2,15.5,2,0,0,0,98766,1
MITTE,mitte,N,0.75,0.96654567,2.10526315789474,0.875261030404661,3.36363636,1.70560573,5,4,2,132.833333333333,5,72.5,0,0,155743.75,1
MITTEL,mittel,N,0.088235294117647,0.995981229554889,2.55555555555556,1.14902629992028,2.88461538461538,1.79614972821139,6,5,2,202.333333333333,3,57.5,0,0,153213.6,1
MODE,mode,N,0.7,0.483045891539648,3.0952380952381,1.4108423691101,4.44444444444444,1.13038833052088,4,4,2,20.3333333333333,6,49.33,1,38,325158.333333333,1
MODER,moder,N,-1.5,0.52704627669473,2.89473684210526,1.24252148839479,3.77777777777778,1.7873008824606,5,5,2,0.5,1,0.33,0,0,615758.5,1
MODERN,modern,V,0,1.25,2.78947368421053,1.39757517660733,3.33,1.22,6,6,2,233.5,2,17,0,0,502783.6,1
MOGELN,mogeln,V,-1.1,0.74,3.05263157894737,0.848114523878724,3.22,1.48,6,6,2,1,1,1,0,0,99068.4,1
MÖGEN,mögen,V,1.76470588235294,0.69886590075427,3.15789473684211,1.21395395733377,2.96153846153846,1.66086168553,5,5,2,529.333333333333,1,12.83,0,0,672945,1
MOHN,mohn,N,0.3,0.483045891539648,2.05555555555556,0.998364675929487,6.66666666666667,0.5,4,3,1,0.666666666666667,4,191.33,4,191.33,23670,1
MOHR,mohr,N,0.4,0.699205898780101,2.33333333333333,0.90748521297303,6.11111111111111,0.600925212577332,4,3,1,2,6,826.83,3,826.17,49371,1
MÖHRE,möhre,N,0.91,1.41,1.73,0.88,6.14,1.52,5,4,2,2.83,3,6.83,1,5.83,172627.5,1
MOKKA,mokka,N,1.1,1.20961064,2.4,1.23117402250218,3.68181818,1.9612038,5,4,2,3.5,0,0,0,0,15365.75,1
MOLCH,molch,N,-0.2,0.788810637746616,2.3,0.864504725870617,5.22222222222222,1.30170827931778,5,4,1,2.16666666666667,3,704,3,704,216941,1
MOLL,moll,N,-0.2,1.31656117720877,2.27777777777778,1.01781516613691,2.11111111111111,1.76383420737639,4,3,1,2.33333333333333,8,325.67,5,323.83,72597,1
MOLLIG,mollig,A,-0.8,1.14,2.63157894736842,1.30002249193318,5.56,0.73,6,5,2,0.666666666666667,2,3,1,2,98737.6,1
MONARCH,monarch,N,-0.4,1.17378779077727,2.61111111111111,1.03690086251908,5.11111111111111,1.36422546197874,7,6,2,4.5,0,0,0,0,187429.666666667,2
MONAT,monat,N,0.3,0.65694669,2.11111111111111,1.1826634392157,2.90909091,1.65929104,5,5,2,327,0,0,0,0,77395.75,1
MOND,mond,N,1.3,0.823272602348565,1.83333333333333,1.04318516770401,6.88888888888889,0.333333333333333,4,4,1,76.8333333333333,3,113.67,0,0,160677.333333333,1
MONDLOS,mondlos,A,-0.6,0.7,1.42105263157895,1.01739260823845,4.78,1.99,7,7,2,0.5,0,0,0,0,88616.8333333333,1
MONOGAM,monogam,A,0.2,1.4,2,1.29099444873581,2.22,1.3,7,7,3,1.5,0,0,0,0,46695.5,3
MONOLOG,monolog,N,-0.7,1.15950180872841,2.05263157894737,1.26814318375447,4.22222222222222,1.56347191994114,7,7,3,4.16666666666667,0,0,0,0,49547.1666666667,3
MONOPOL,monopol,N,-1,0.471404520791032,2.9047619047619,1.4108423691101,2.55555555555556,1.42400062421959,7,7,3,20.3333333333333,0,0,0,0,50290.5,3
MONOTON,monoton,A,-1.3,0.48,1.84210526315789,1.21395395733377,3.11,1.54,7,7,3,3.33333333333333,0,0,0,0,63352.5,3
MONSTRUM,monstrum,N,-1.8,0.918936583472681,4.35294117647059,0.931475742477242,5.77777777777778,0.97182531580755,8,8,2,2.16666666666667,0,0,0,0,90834.2857142857,1
MOOR,moor,N,0.3,1.05934990547138,2.77777777777778,1.35279908318905,6,1.3228756555323,4,3,1,4.66666666666667,2,6.17,0,0,40838.6666666667,1
MOORBAD,moorbad,N,0.2,0.918936583472681,1.94444444444444,0.937595311059234,6.11111111111111,0.781735959970571,7,6,2,0.666666666666667,0,0,0,0,34141.5,1
MOOS,moos,N,0.7,0.674948557710553,1.9047619047619,1.13599128098599,6.66666666666667,0.707106781186548,4,3,1,4.16666666666667,2,5,1,4.67,12700,1
MOPED,moped,N,-0.2,1.54238366,2.63157894736842,1.11607080200484,5.72727273,1.69542292,5,5,2,2.66666666666667,0,0,0,0,25130.75,1
MORAL,moral,N,-0.1,1.41048704,2.55555555555556,0.983524408155643,1.72727273,1.07711335,5,5,2,21.1666666666667,1,0,0,0,97592.5,2
MORALIST,moralist,N,-0.8,1.31656117720877,2.73684210526316,1.19452944074029,2.22222222222222,1.56347191994114,8,8,3,1,0,0,0,0,133129.142857143,3
MORAST,morast,N,-1.1,0.85224163,2.77777777777778,1.21536997782837,3.86363636,1.90976076,6,6,2,1.33333333333333,0,0,0,0,100741.2,2
MORD,mord,N,-2.8,0.421637021355784,4.44444444444444,0.921777197924954,5.33333333333333,1.1180339887499,4,4,1,42,5,186.17,2,137.5,72067.6666666667,1
MORDEN,morden,V,-2.7,0.48,4.38888888888889,0.777544316035229,5,1,6,6,2,2.33333333333333,3,1078,2,621,437371.4,1
MORDFALL,mordfall,N,-2.4,0.843274042711568,4.22222222222222,1.16596617626027,4.77777777777778,1.7873008824606,8,7,2,1.16666666666667,0,0,0,0,77535.7142857143,1
MORDTAT,mordtat,N,-2.9,0.316227766016838,4.27777777777778,1.07405529245092,5.11111111111111,1.26929551764398,7,7,2,0.833333333333333,1,0.83,0,0,60812.8333333333,1
MORPHEM,morphem,N,-1,2.05480466765633,2,1.15470053837925,1.88888888888889,1.53659074288215,7,6,2,0.5,0,0,0,0,65554.5,2
MORSCH,morsch,A,-1,0.82,2.89473684210526,1.10023920844036,5.22,0.83,6,4,1,2.16666666666667,5,88,4,33,239236.6,1
MÖRSER,mörser,N,-0.45,1.06,2.32,1.09,4.59,1.89,6,6,2,0.67,1,26,1,26,629263,1
MOSKITO,moskito,N,-1.4,0.843274042711568,3.44444444444444,0.783823376129674,5.88888888888889,1.05409255338946,7,7,3,1.5,0,0,0,0,48002.1666666667,2
MOTIV,motiv,N,0.25,0.85069631,2.55555555555556,0.921777197924953,2.40909091,1.43623486,5,5,2,44.1666666666667,1,0,0,0,40618.5,2
MOTOR,motor,N,0.45,1.23437604,2.8,1.15165784392487,4.90909091,1.60086557,5,5,2,93.6666666666667,1,1.17,0,0,41159,1
MOTORRAD,motorrad,N,1.4,1.26491106406735,2.88888888888889,1.07860961093922,6.44444444444444,0.726483157256779,8,8,3,13.6666666666667,0,0,0,0,44900.4285714286,1
MOTTE,motte,N,-1.55,0.75915465,3.05,1.14593101656986,4.5,1.68325082,5,4,2,0.5,5,149.5,3,149.17,85502,1
MOTTO,motto,N,0.6,1.04629673,2.19047619047619,1.12334534400814,2,1.30930734,5,4,2,13.1666666666667,2,5.33,0,0,24303.75,1
MÖWE,möwe,N,-0.05,1.86,2.91,1.15,6.27,1.12,4,4,2,7.17,1,41.83,1,41.83,190767,1
MUFFIG,muffig,A,-1.4,0.52,1.73684210526316,0.733492805626908,3.56,1.67,6,5,2,1.5,0,0,0,0,49817.8,1
MÜHE,mühe,N,-0.117647058823529,1.60990694032489,2.88888888888889,1.07860961093922,3.07692307692308,1.62291286082961,4,3,2,51.3333333333333,1,38,0,0,223222,1
MUMIE,mumie,N,-0.6,0.966091783079296,2.84210526315789,1.25888654041475,6.66666666666667,0.5,5,5,3,1,1,0,0,0,114548.25,1
MUNDRAUB,mundraub,N,-1.2,0.788810637746616,3.38888888888889,0.978527638786601,3.22222222222222,1.64147630029935,8,7,2,0.833333333333333,0,0,0,0,155641.714285714,1
MUNITION,munition,N,-1.8,1.13529242439509,3.58823529411765,1.00366973710303,5.55555555555556,1.66666666666667,8,8,4,6.83333333333333,0,0,0,0,145498.714285714,4
MUNKELN,munkeln,V,-1.1,0.32,2.57894736842105,1.12129832851051,3.33,1.41,7,7,2,2,1,25,1,25,109733.5,1
MUNTER,munter,A,1.7,0.48,3.21052631578947,1.08417646003371,4,1.58,6,6,2,11.3333333333333,4,1394,4,599,454209,1
MURMEL,murmel,N,1.25,0.78639752,1.47368421052632,0.512989176042577,5.04545455,1.55769282,6,6,2,1,1,0,0,0,74643.6,1
MURREN,murren,V,-1,0,2.10526315789474,1.28645666861885,3.89,1.62,6,5,2,2.16666666666667,2,8,1,7,274640.6,1
MUSCHEL,muschel,N,1.55,1.14,2.18,1.05,6.41,0.91,7,5,2,3.5,0,0,0,0,244636.666666667,1
